linha;status;resultado;proteina
1;ERRO;BUG - CAP 5';NÃO GERADA
2;ERRO;BUG - CAP 5';NÃO GERADA
3;ERRO;BUG - CAP 5';NÃO GERADA
4;ERRO;BUG - CAP 5';NÃO GERADA
5;ERRO;BUG - CAP 5';NÃO GERADA
6;ERRO;BUG - CAP 5';NÃO GERADA
7;ERRO;BUG - CAP 5';NÃO GERADA
8;ERRO;BUG - CAP 5';NÃO GERADA
9;ERRO;BUG - CAP 5';NÃO GERADA
10;ERRO;BUG - CAP 5';NÃO GERADA
11;ERRO;BUG - CAP 5';NÃO GERADA
12;ERRO;BUG - CAP 5';NÃO GERADA
13;ERRO;BUG - CAP 5';NÃO GERADA
14;ERRO;BUG - CAP 5';NÃO GERADA
15;ERRO;BUG - CAP 5';NÃO GERADA
16;ERRO;BUG - CAP 5';NÃO GERADA
17;ERRO;BUG - CAP 5';NÃO GERADA
18;ERRO;BUG - CAP 5';NÃO GERADA
19;ERRO;BUG - CAP 5';NÃO GERADA
20;ERRO;BUG - CAP 5';NÃO GERADA
21;ERRO;BUG - CAP 5';NÃO GERADA
22;ERRO;BUG - CAP 5';NÃO GERADA
23;ERRO;BUG - CAP 5';NÃO GERADA
24;ERRO;BUG - CAP 5';NÃO GERADA
25;ERRO;BUG - CAP 5';NÃO GERADA
26;ERRO;BUG - CAP 5';NÃO GERADA
27;ERRO;BUG - CAP 5';NÃO GERADA
28;ERRO;BUG - CAP 5';NÃO GERADA
29;ERRO;BUG - CAP 5';NÃO GERADA
30;ERRO;BUG - CAP 5';NÃO GERADA
31;ERRO;BUG - CAP 5';NÃO GERADA
32;ERRO;BUG - CAP 5';NÃO GERADA
33;ERRO;BUG - CAP 5';NÃO GERADA
34;ERRO;BUG - CAP 5';NÃO GERADA
35;ERRO;BUG - CAP 5';NÃO GERADA
36;ERRO;BUG - CAP 5';NÃO GERADA
37;ERRO;BUG - CAP 5';NÃO GERADA
38;ERRO;BUG - CAP 5';NÃO GERADA
39;ERRO;BUG - CAP 5';NÃO GERADA
40;ERRO;BUG - CAP 5';NÃO GERADA
41;ERRO;BUG - CAP 5';NÃO GERADA
